INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
24,QUIC,https://52.15.197.199:8001,/,187,/image,203

24,QUIC,https://172.17.90.8:8001,/,31,/image,1134

25,HTTP2,https://52.15.197.199:8000,https://52.15.197.199:8000/,777,https://52.15.197.199:8000/image,1199

25,HTTP2,https://172.17.90.8:8000,https://172.17.90.8:8000/,124,https://172.17.90.8:8000/image,910

25,QUIC,https://52.15.197.199:8001,/,218,/image,203

25,QUIC,https://172.17.90.8:8001,/,15,/image,1115

26,HTTP2,https://52.15.197.199:8000,https://52.15.197.199:8000/,767,https://52.15.197.199:8000/image,1189

26,HTTP2,https://172.17.90.8:8000,https://172.17.90.8:8000/,15,https://172.17.90.8:8000/image,812

26,QUIC,https://52.15.197.199:8001,/,192,/image,205

26,QUIC,https://172.17.90.8:8001,/,15,/image,1083

27,HTTP2,https://52.15.197.199:8000,https://52.15.197.199:8000/,795,https://52.15.197.199:8000/image,1236

27,HTTP2,https://172.17.90.8:8000,https://172.17.90.8:8000/,15,https://172.17.90.8:8000/image,801

27,QUIC,https://52.15.197.199:8001,/,203,/image,203

27,QUIC,https://172.17.90.8:8001,/,31,/image,1204

28,HTTP2,https://52.15.197.199:8000,https://52.15.197.199:8000/,765,https://52.15.197.199:8000/image,1187

28,HTTP2,https://172.17.90.8:8000,https://172.17.90.8:8000/,15,https://172.17.90.8:8000/image,799

28,QUIC,https://52.15.197.199:8001,/,203,/image,187

28,QUIC,https://172.17.90.8:8001,/,31,/image,1097

29,HTTP2,https://52.15.197.199:8000,https://52.15.197.199:8000/,827,https://52.15.197.199:8000/image,1753

29,HTTP2,https://172.17.90.8:8000,https://172.17.90.8:8000/,15,https://172.17.90.8:8000/image,798

29,QUIC,https://52.15.197.199:8001,/,187,/image,203

29,QUIC,https://172.17.90.8:8001,/,15,/image,1162

30,HTTP2,https://52.15.197.199:8000,https://52.15.197.199:8000/,807,https://52.15.197.199:8000/image,1236

30,HTTP2,https://172.17.90.8:8000,https://172.17.90.8:8000/,46,https://172.17.90.8:8000/image,832

30,QUIC,https://52.15.197.199:8001,/,203,/image,209

30,QUIC,https://172.17.90.8:8001,/,30,/image,1086

31,HTTP2,https://52.15.197.199:8000,https://52.15.197.199:8000/,797,https://52.15.197.199:8000/image,1222

31,HTTP2,https://172.17.90.8:8000,https://172.17.90.8:8000/,31,https://172.17.90.8:8000/image,856

31,QUIC,https://52.15.197.199:8001,/,202,/image,188

31,QUIC,https://172.17.90.8:8001,/,17,/image,863

32,HTTP2,https://52.15.197.199:8000,https://52.15.197.199:8000/,807,https://52.15.197.199:8000/image,1250

32,HTTP2,https://172.17.90.8:8000,https://172.17.90.8:8000/,31,https://172.17.90.8:8000/image,859

32,QUIC,https://52.15.197.199:8001,/,206,/image,187

32,QUIC,https://172.17.90.8:8001,/,31,/image,859

33,HTTP2,https://52.15.197.199:8000,https://52.15.197.199:8000/,805,https://52.15.197.199:8000/image,1241

33,HTTP2,https://172.17.90.8:8000,https://172.17.90.8:8000/,47,https://172.17.90.8:8000/image,874

33,QUIC,https://52.15.197.199:8001,/,211,/image,203

33,QUIC,https://172.17.90.8:8001,/,31,/image,849

34,HTTP2,https://52.15.197.199:8000,https://52.15.197.199:8000/,816,https://52.15.197.199:8000/image,1247

