INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
29,HTTP2,https://52.15.197.199:9000,/,734,/image,46374
29,HTTP2,https://172.17.90.8:9000,/,101,/image,1090
29,QUIC,https://52.15.197.199:9001,/,636,/image,75014
29,QUIC,https://172.17.90.8:9001,/,5,/image,912
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
30,HTTP2,https://52.15.197.199:9000,/,757,/image,41522
30,HTTP2,https://172.17.90.8:9000,/,85,/image,880
30,QUIC,https://52.15.197.199:9001,/,372,/image,73601
30,QUIC,https://172.17.90.8:9001,/,4,/image,1666
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
31,HTTP2,https://52.15.197.199:9000,/,1521,/image,46985
31,HTTP2,https://172.17.90.8:9000,/,36,/image,835
31,QUIC,https://52.15.197.199:9001,/,378,/image,62057
31,QUIC,https://172.17.90.8:9001,/,4,/image,909
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
32,HTTP2,https://52.15.197.199:9000,/,755,/image,45463
32,HTTP2,https://172.17.90.8:9000,/,83,/image,886
32,QUIC,https://52.15.197.199:9001,/,371,/image,75666
32,QUIC,https://172.17.90.8:9001,/,4,/image,1034
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
33,HTTP2,https://52.15.197.199:9000,/,749,/image,48739
33,HTTP2,https://172.17.90.8:9000,/,12,/image,1030
33,QUIC,https://52.15.197.199:9001,/,373,/image,71300
33,QUIC,https://172.17.90.8:9001,/,4,/image,1045
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
34,HTTP2,https://52.15.197.199:9000,/,773,/image,51556
34,HTTP2,https://172.17.90.8:9000,/,36,/image,834
34,QUIC,https://52.15.197.199:9001,/,379,/image,57128
34,QUIC,https://172.17.90.8:9001,/,5,/image,1026
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
35,HTTP2,https://52.15.197.199:9000,/,747,/image,46733
35,HTTP2,https://172.17.90.8:9000,/,69,/image,866
35,QUIC,https://52.15.197.199:9001,/,372,/image,63569
35,QUIC,https://172.17.90.8:9001,/,5,/image,1009
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
36,HTTP2,https://52.15.197.199:9000,/,772,/image,49186
36,HTTP2,https://172.17.90.8:9000,/,20,/image,831
36,QUIC,https://52.15.197.199:9001,/,373,/image,57146
36,QUIC,https://172.17.90.8:9001,/,11,/image,1206
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
37,HTTP2,https://52.15.197.199:9000,/,758,/image,45683
37,HTTP2,https://172.17.90.8:9000,/,104,/image,890
37,QUIC,https://52.15.197.199:9001,/,375,/image,58587
37,QUIC,https://172.17.90.8:9001,/,4,/image,1001
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
38,HTTP2,https://52.15.197.199:9000,/,769,/image,46224
38,HTTP2,https://172.17.90.8:9000,/,83,/image,873
38,QUIC,https://52.15.197.199:9001,/,372,/image,60019
38,QUIC,https://172.17.90.8:9001,/,17,/image,1244
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
39,HTTP2,https://52.15.197.199:9000,/,731,/image,42039
39,HTTP2,https://172.17.90.8:9000,/,31,/image,830
39,QUIC,https://52.15.197.199:9001,/,373,/image,49419
39,QUIC,https://172.17.90.8:9001,/,27,/image,1022
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
40,HTTP2,https://52.15.197.199:9000,/,743,/image,46711
40,HTTP2,https://172.17.90.8:9000,/,11,/image,788
40,QUIC,https://52.15.197.199:9001,/,373,/image,69112
